bulk_symbols,structure
Sr12 Ru6 O27,"Full Formula (Sr12 Ru6 O27)
Reduced Formula: Sr4Ru2O9
abc   :   9.679446   9.679446   8.032041
angles:  90.000007  89.999994 119.999965
pbc   :       True       True       True
Sites (45)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  Sr     2e-06      0.672445   1e-06        0.004
  1  Sr     1e-06      0.654156   0.500001     0.003
  2  Sr     0.320777   0.98716    0.751931     0.002
  3  Sr     0.012839   0.333616   0.751931     0.002
  4  Sr     0.345843   0.345844   0.500001     0.003
  5  Sr     0.327555   0.327557   1e-06        0.004
  6  Sr     0.666383   0.679223   0.751932     0.002
  7  Sr     0.333619   0.012839   0.248071     0.002
  8  Sr     0.67922    0.666381   0.248071     0.002
  9  Sr     0.654156  -1e-06      0.500001     0.003
 10  Sr     0.672443  -2e-06      1e-06        0.004
 11  Sr     0.987161   0.32078    0.248071     0.002
 12  Ru    -0          0          0.84453      1.285
 13  Ru     0.333333   0.666667   0.912002     1.234
 14  Ru     0.333334   0.666667   0.598632     1.323
 15  Ru     0.666667   0.333334   0.401357     1.323
 16  Ru     0.666667   0.333333   0.087998     1.234
 17  Ru    -0         -0          0.15549      1.285
 18  O      0.01031    0.836851   0.275982     0.144
 19  O      0.152256   0.644455   0.753708     0.056
 20  O      0.318414   0.822639   0.032081     0.154
 21  O      0.311855   0.823363   0.477614     0.146
 22  O     -0          0.165139  -7e-06        0.066
 23  O      0.177361   0.495775   0.032081     0.154
 24  O      0.176637   0.488493   0.477613     0.146
 25  O      0.492199   0.847744   0.753708     0.056
 26  O      0.163149   0.173458   0.275982     0.144
 27  O      0.173453   0.163143   0.724028     0.144
 28  O      0.355546   0.507801   0.753708     0.056
 29  O      0.165139  -0         -7e-06        0.066
 30  O      0.504225   0.681586   0.032081     0.154
 31  O      0.511508   0.688145   0.477614     0.146
 32  O      0.826541   0.98969    0.275982     0.144
 33  O      0.507803   0.355548   0.246291     0.056
 34  O      0.48849    0.17663    0.522386     0.146
 35  O      0.495771   0.177357   0.967911     0.154
 36  O      0.83486    0.83486   -7e-06        0.066
 37  O      0.688141   0.511511   0.522386     0.146
 38  O      0.681586   0.504229   0.967911     0.154
 39  O      0.644452   0.152254   0.246291     0.056
 40  O      0.98969    0.826547   0.724028     0.144
 41  O      0.847744   0.492199   0.24629      0.056
 42  O      0.822642   0.318413   0.967912     0.154
 43  O      0.823369   0.311859   0.522386     0.146
 44  O      0.836856   0.01031    0.724028     0.144"
Rb8 Ga8 O16,"Full Formula (Rb2 Ga2 O4)
Reduced Formula: RbGaO2
abc   :   5.911235   5.911235   5.911235
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (8)
  #  SP        a       b      c    magmom
---  ----  -----  ------  -----  --------
  0  Rb    0.375   0.375  0.375        -0
  1  Rb    0.625   0.625  0.625        -0
  2  Ga    0.125   0.125  0.125        -0
  3  Ga    0.875   0.875  0.875        -0
  4  O     0      -0      0             0
  5  O     0.5    -0      0             0
  6  O     0       0.5    0             0
  7  O     0      -0      0.5           0"
Zn2 Bi8 O18,"Full Formula (Zn2 Bi8 O18)
Reduced Formula: ZnBi4O9
abc   :   5.823605   8.163062  11.312737
angles:  50.928043  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.195822  0         0.25            -0
  1  Zn    0.804178  0         0.75            -0
  2  Bi    0.68977   0.801763  0.554531        -0
  3  Bi    0.248583  0.602617  0.863233        -0
  4  Bi    0.751417  0.602617  0.363233        -0
  5  Bi    0.31023   0.801763  0.054531        -0
  6  Bi    0.68977   0.198237  0.945469        -0
  7  Bi    0.751417  0.397383  0.136767        -0
  8  Bi    0.31023   0.198237  0.445469        -0
  9  Bi    0.248583  0.397383  0.636767        -0
 10  O     0.555942  0.5       0.75             0
 11  O     0.444058  0.5       0.25             0
 12  O     0.890143  0.183838  0.797511         0
 13  O     0.046799  0.275688  0.533217         0
 14  O     0.046799  0.724312  0.966783         0
 15  O     0.890143  0.816162  0.702489         0
 16  O     0.109857  0.816162  0.202489         0
 17  O     0.953201  0.724312  0.466783         0
 18  O     0.953201  0.275688  0.033217         0
 19  O     0.109857  0.183838  0.297511         0
 20  O     0.479583  0.269395  0.0699           0
 21  O     0.633586  0.870829  0.120285         0
 22  O     0.633586  0.129171  0.379715         0
 23  O     0.479583  0.730605  0.4301           0
 24  O     0.520417  0.269395  0.5699           0
 25  O     0.366414  0.129171  0.879715         0
 26  O     0.366414  0.870829  0.620285         0
 27  O     0.520417  0.730605  0.9301           0"
Si1 Mo1 O3,"Full Formula (Si1 Mo1 O3)
Reduced Formula: SiMoO3
abc   :   3.645503   3.645503   3.645503
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Si    0.5  0.5  0.5     0
  1  Mo    0    0    0       3.686
  2  O     0.5  0.5  0       0.005
  3  O     0.5  0    0.5     0.005
  4  O     0    0.5  0.5     0.005"
Ti6 Al6 O18,"Full Formula (Ti2 Al2 O6)
Reduced Formula: TiAlO3
abc   :   5.439792   5.439792   5.439792
angles:  53.989889  53.989889  53.989885
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ti    0.350988  0.350988  0.350988     0.866
  1  Ti    0.649012  0.649012  0.649012     0.866
  2  Al    0.151183  0.151183  0.151183     0.011
  3  Al    0.848817  0.848817  0.848817     0.011
  4  O     0.771081  0.053462  0.439082    -0.002
  5  O     0.053462  0.439082  0.771081    -0.002
  6  O     0.439082  0.771081  0.053462    -0.002
  7  O     0.560918  0.228919  0.946538    -0.002
  8  O     0.946538  0.560918  0.228919    -0.002
  9  O     0.228919  0.946538  0.560918    -0.002"
Rb1 Mg1 O3,"Full Formula (Rb1 Mg1 O3)
Reduced Formula: RbMgO3
abc   :   4.194742   4.194742   4.194742
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Rb    0    0    0       0.012
  1  Mg    0.5  0.5  0.5    -0.015
  2  O     0.5  0.5  0       0.865
  3  O     0.5  0    0.5     0.827
  4  O     0    0.5  0.5     0.774"
Lu6 Bi18 O36,"Full Formula (Lu2 Bi6 O12)
Reduced Formula: Lu(BiO2)3
abc   :   6.966760   6.966760   6.966759
angles:  93.178970  93.178970  93.178957
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Lu    0         0         0            0.001
  1  Lu    0.5       0.5       0.5          0.001
  2  Bi    0.554107  0.071493  0.250637     0
  3  Bi    0.071493  0.250637  0.554107     0
  4  Bi    0.749363  0.445893  0.928507     0
  5  Bi    0.250637  0.554107  0.071493     0
  6  Bi    0.928507  0.749363  0.445893     0
  7  Bi    0.445893  0.928507  0.749363     0
  8  O     0.695581  0.066566  0.928397    -0
  9  O     0.933434  0.071603  0.304419    -0
 10  O     0.402493  0.193954  0.528483    -0
 11  O     0.071603  0.304419  0.933434    -0
 12  O     0.528483  0.402493  0.193954    -0
 13  O     0.806046  0.471517  0.597507    -0
 14  O     0.193954  0.528483  0.402493    -0
 15  O     0.471517  0.597507  0.806046    -0
 16  O     0.928397  0.695581  0.066566    -0
 17  O     0.597507  0.806046  0.471517    -0
 18  O     0.066566  0.928397  0.695581    -0
 19  O     0.304419  0.933434  0.071603    -0"
Cr2 Sb2 O8,"Full Formula (Cr4 Sb4 O16)
Reduced Formula: CrSbO4
abc   :   4.579963   6.166758   9.663725
angles:  71.394088  91.322843  89.999434
pbc   :       True       True       True
Sites (24)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Cr     0.499981  0.12497   0.250014    -2.78
  1  Cr     0.500019  0.875035  0.749986    -2.78
  2  Cr     0.500019  0.375035  0.749986     2.78
  3  Cr     0.499981  0.62497   0.250014     2.78
  4  Sb     1         0.749997  0.500003     0
  5  Sb     0         0.500001  0.999997    -0
  6  Sb     0.999999  0.249999  0.500003    -0
  7  Sb    -0         1e-06     0.999997     0
  8  O      0.694461  0.576393  0.847277    -0
  9  O      0.694503  0.32635   0.347246    -0
 10  O      0.694461  0.076393  0.847277     0
 11  O      0.694504  0.82635   0.347246     0
 12  O      0.305495  0.673648  0.652756    -0
 13  O      0.305541  0.423607  0.152721    -0
 14  O      0.305494  0.173648  0.652756     0
 15  O      0.305542  0.923607  0.15272      0
 16  O      0.195241  0.298874  0.902278    -0.003
 17  O      0.195377  0.048805  0.40232      0.005
 18  O      0.19524   0.798875  0.902277     0.003
 19  O      0.195377  0.548805  0.40232     -0.005
 20  O      0.804626  0.451192  0.597686    -0.005
 21  O      0.804757  0.201127  0.097718     0.003
 22  O      0.804626  0.951192  0.597686     0.005
 23  O      0.804757  0.701128  0.097717    -0.003"
Mn1 Ge1 O4,
Cr16 Cd8 O32,"Full Formula (Cr4 Cd2 O8)
Reduced Formula: Cr2CdO4
abc   :   6.104136   6.104134   6.104132
angles:  59.999999  60.000012  60.000007
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cr    0.5       0         0.5          2.906
  1  Cr    0         0.5       0.5          2.906
  2  Cr    0.5       0.5       0            2.906
  3  Cr    0.5       0.5       0.5          2.906
  4  Cd    0.125     0.125     0.125        0.022
  5  Cd    0.875     0.875     0.875        0.022
  6  O     0.731205  0.731206  0.731208    -0.002
  7  O     0.268793  0.268792  0.693622    -0.002
  8  O     0.268794  0.693621  0.268792    -0.002
  9  O     0.693621  0.268793  0.268792    -0.002
 10  O     0.731205  0.306379  0.731208    -0.002
 11  O     0.306379  0.731206  0.731208    -0.002
 12  O     0.268794  0.268793  0.268791    -0.002
 13  O     0.731206  0.731208  0.306378    -0.002"
Ba4 Hf2 O8,"Full Formula (Ba2 Hf1 O4)
Reduced Formula: Ba2HfO4
abc   :   4.160590   4.160590   7.388850
angles:  73.647562  73.647562  90.000000
pbc   :       True       True       True
Sites (7)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Ba    0.352561  0.352561   0.294877         0
  1  Ba    0.647439  0.647439   0.705123         0
  2  Hf    0         0         -0               -0
  3  O     0.5       0         -0               -0
  4  O     0         0.5       -0               -0
  5  O     0.154612  0.154612   0.690776        -0
  6  O     0.845388  0.845388   0.309224        -0"
Ta8 Cu4 O24,"Full Formula (Ta16 Cu8 O48)
Reduced Formula: Ta2CuO6
abc   :   7.573437   7.605069  15.194243
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (72)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ta    0.251077  0.255822  0.374474     0.022
  1  Ta    0.251077  0.255822  0.625526     0.022
  2  Ta    0.255479  0.248846  0.876314     0.021
  3  Ta    0.748923  0.255822  0.625526     0.022
  4  Ta    0.744521  0.248846  0.123686     0.021
  5  Ta    0.255479  0.248846  0.123686     0.021
  6  Ta    0.748923  0.255822  0.374474     0.022
  7  Ta    0.744521  0.248846  0.876314     0.021
  8  Ta    0.251077  0.744178  0.625526     0.022
  9  Ta    0.255479  0.751154  0.123686     0.021
 10  Ta    0.748923  0.744178  0.374474     0.022
 11  Ta    0.748923  0.744178  0.625526     0.022
 12  Ta    0.251077  0.744178  0.374474     0.022
 13  Ta    0.744521  0.751154  0.876314     0.021
 14  Ta    0.744521  0.751154  0.123686     0.021
 15  Ta    0.255479  0.751154  0.876314     0.021
 16  Cu    0         0         0.5          0.601
 17  Cu    0.5       0         0.252026     0.592
 18  Cu    0.5       0         0.5          0.601
 19  Cu    0.5       0         0.747974     0.592
 20  Cu    0         0         0            0.593
 21  Cu    0         0.5       0.248785     0.597
 22  Cu    0         0.5       0.751215     0.597
 23  Cu    0         0.5       0            0.6
 24  O     0.694969  0         0.338689     0.086
 25  O     0.694969  0         0.661311     0.086
 26  O     0.690931  0         0.840132     0.06
 27  O     0.309069  0         0.840132     0.06
 28  O     0.690931  0         0.159868     0.06
 29  O     0         0.181355  0.593964     0.078
 30  O     0         0.181355  0.406036     0.078
 31  O     0         0.178029  0.096282     0.071
 32  O     0         0.178029  0.903718     0.071
 33  O     0.686494  0.185055  0.5          0.068
 34  O     0.313506  0.185055  0.5          0.068
 35  O     0.700536  0.204883  0            0.005
 36  O     0.299464  0.204883  0            0.005
 37  O     0.819312  0.310162  0.249397     0.074
 38  O     0.819312  0.310162  0.750603     0.074
 39  O     0.180688  0.310162  0.249397     0.074
 40  O     0.180688  0.310162  0.750603     0.074
 41  O     0.5       0.296824  0.352393     0.006
 42  O     0.5       0.306964  0.853042     0.009
 43  O     0.5       0.296824  0.647607     0.006
 44  O     0.5       0.306964  0.146958     0.009
 45  O     0.793763  0.5       0.403106     0.011
 46  O     0.815314  0.5       0.906777     0.067
 47  O     0.793763  0.5       0.596894     0.011
 48  O     0.206237  0.5       0.403106     0.011
 49  O     0.206237  0.5       0.596894     0.011
 50  O     0.815314  0.5       0.093223     0.067
 51  O     0.184686  0.5       0.906777     0.067
 52  O     0.184686  0.5       0.093223     0.067
 53  O     0.5       0.703176  0.352393     0.006
 54  O     0.5       0.703176  0.647607     0.006
 55  O     0.5       0.693036  0.853042     0.009
 56  O     0.5       0.693036  0.146958     0.009
 57  O     0.819312  0.689838  0.249397     0.074
 58  O     0.180688  0.689838  0.249397     0.074
 59  O     0.819312  0.689838  0.750603     0.074
 60  O     0.180688  0.689838  0.750603     0.074
 61  O     0.686494  0.814945  0.5          0.068
 62  O     0.313506  0.814945  0.5          0.068
 63  O     0.700536  0.795117  0            0.005
 64  O     0.299464  0.795117  0            0.005
 65  O     0         0.818645  0.406036     0.078
 66  O     0         0.818645  0.593964     0.078
 67  O     0         0.821971  0.096282     0.071
 68  O     0         0.821971  0.903718     0.071
 69  O     0.305031  0         0.338689     0.086
 70  O     0.305031  0         0.661311     0.086
 71  O     0.309069  0         0.159868     0.06"
Na8 Pb2 O8,"Full Formula (Na8 Pb2 O8)
Reduced Formula: Na4PbO4
abc   :   5.927734   5.922495   8.952405
angles:  82.590081  70.924198  68.737310
pbc   :       True       True       True
Sites (18)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Na    0.748905  0.751092  0.994459        -0
  1  Na    0.251095  0.248908  0.005541        -0
  2  Na    0.434941  0.254234  0.591272         0
  3  Na    0.565059  0.745766  0.408728         0
  4  Na    0.017658  0.26444   0.432568         0
  5  Na    0.982342  0.73556   0.567432         0
  6  Na    0.887977  0.279123  0.794387        -0
  7  Na    0.112023  0.720877  0.205613        -0
  8  Pb    0.339063  0.725868  0.77136         -0
  9  Pb    0.660937  0.274132  0.22864         -0
 10  O     0.116469  0.509442  0.804291         0
 11  O     0.883531  0.490558  0.195709         0
 12  O     0.313067  0.484054  0.377888         0
 13  O     0.686933  0.515946  0.622112         0
 14  O     0.19912   0.992013  0.614208        -0
 15  O     0.80088   0.007987  0.385792        -0
 16  O     0.347527  0.842344  0.975113         0
 17  O     0.652473  0.157656  0.024887         0"
Na2 Nb2 O4,"Full Formula (Na2 Nb2 O4)
Reduced Formula: NaNbO2
abc   :   2.975081   2.975082  11.515473
angles:  90.000000  90.000000 119.999984
pbc   :       True       True       True
Sites (8)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Na    0         -0         0               -0
  1  Na    0         -0         0.5             -0
  2  Nb    0.333333   0.666667  0.75            -0
  3  Nb    0.666667   0.333333  0.25            -0
  4  O     0.333333   0.666667  0.364561         0
  5  O     0.666667   0.333333  0.864561         0
  6  O     0.333333   0.666667  0.135439         0
  7  O     0.666667   0.333333  0.635439         0"
